id,phase,country,location,name,preservation,lat,long,sex,age
143,5,Denmark,Vejle,Haraldskær Woman,bog mummy,55.702778,9.439444,female,adult
144,5,Denmark,Horreby,NA,bog mummy,54.8149,12.0099,unknown,unknown
145,5,Denmark,Ramten,Huldremose Woman/Huldremose I,bog mummy,56.4442,10.6308,female,adult
146,5,Denmark,Torslev,NA,bog mummy,57.35515,10.264,unknown,adult
147,5,Denmark,Roum,NA,bog mummy (head),56.606,9.5523,male,adult
148,5,Denmark,Stidsholt,NA,bog mummy (head),57.2718,10.4352,female,adult
149,5,Denmark,Thorup,Thorup I,bog mummy,56.6961,9.6036,unknown,child
150,5,Denmark,Rostrup,NA,bog skeleton (partial),56.7655,9.9488,unknown,adult
151,5,Denmark,Undelev,NA,bog mummy,54.903571,9.459037,male,adult
152,5,Denmark,Verst,NA,bog mummy,55.6087,9.2095,male,adult
153,5,Denmark,Vindum,NA,bog skeleton,56.374,9.5797,unknown,adult
154,5,Denmark,Auning,Auning woman,bog mummy,56.4304,10.3767,female,adult
155,5,Denmark,Storarden,Arden Woman,bog mummy,56.7608,9.8829,female,adult
156,5,Denmark,Grauballe,Grauballe Man,bog mummy,56.2097,9.6303,male,adult
157,5,Denmark,Karlby,NA,bog skeleton,56.4735,10.8622,male,adult
158,5,Denmark,Jelling,NA,bog mummy,55.7079,9.3484,female,adult
159,5,Denmark,Skærum,NA,bog mummy,57.4351,10.3318,unknown,unknown
160,2,Denmark,Veksø,NA,bog skeleton,55.7603,12.2586,female,adult
161,2,Denmark,Ferle,NA,bog skeleton,56.0835,12.3663,female,adult
162,2,Denmark,Tammosegård ,NA,bog skeleton,56.092633,12.287794,unknown,child
163,2,Denmark,Kongsted,NA,bog skeleton (cranium/mandible),55.579,11.4285,unknown,adult
164,2,Denmark,Bøstrup,NA,bog skeleton,55.043,10.8776,male,adult
165,2,Denmark,Vængegårds torvfabrik,NA,bog skeleton,55.5335,11.764,female,adult
166,2,Denmark,"Naestved, Hole Ostrup",Porsmose Man,bog skeleton,55.2764,11.8749,male,adult
167,3,Denmark,Hillerød,NA,bog skeleton,55.912911,12.300616,male,adult
168,2,Denmark,"Hillerød, Hillerød hospital",NA,bog skeleton,55.9138,12.3263,male,adult
169,3,Denmark,"Møllebakkegård, Højby",Stenstrup,bog skeleton,55.196377,11.781733,male,adult
170,3,Denmark,Føllenslev,Føllenslev Mose Man,bog skeleton,55.729945,11.358124,male,adult
171,1,Denmark,Vissenbjerg,Koelbjerg Man,bog skeleton,55.40377369,10.13342681,male,adult
172,5,Denmark,"Jørlunde, Frederiksborg",NA,bog skeleton,55.831879,12.20967,female,adult
173,2,Denmark,Hallebygård,NA,bog skeleton,55.596064,11.316235,male,adult
174,6,Denmark,"Fredriksdal, Kragelund",NA,bog mummy,56.233528,9.386087,male,adult
